created_at,entry_id,field1,field2,,,
2023-03-15 01:41:27 UTC,1,22.8,25.48,,,
2023-03-15 01:41:59 UTC,2,22.7,25.48,,,
2023-03-15 01:42:31 UTC,3,23,25.48,,,
2023-03-15 01:43:03 UTC,4,22.9,25.48,,,
2023-03-15 01:43:35 UTC,5,22.6,25.48,,,
2023-03-15 01:44:07 UTC,6,22.6,25.48,,,
2023-03-15 01:44:39 UTC,7,22.6,25.48,,,
2023-03-15 01:46:32 UTC,8,23,25.48,,,
2023-03-15 01:47:04 UTC,9,22.8,25.48,,,
2023-03-15 01:47:36 UTC,10,22.8,25.48,,,
2023-03-15 01:48:08 UTC,11,22.8,25.48,,,
2023-03-18 01:56:51 UTC,12,25.4,22.93,,,
2023-03-18 01:57:24 UTC,13,25.3,22.93,,,
2023-03-18 01:57:56 UTC,14,25.6,22.93,,,
2023-03-18 01:58:29 UTC,15,25.8,22.93,,,
2023-03-18 01:59:01 UTC,16,26,22.93,,,
2023-03-18 01:59:32 UTC,17,26.1,22.93,,,
2023-03-18 02:00:04 UTC,18,26.2,22.93,,,
2023-03-18 02:00:36 UTC,19,26.3,22.93,,,
2023-03-18 02:01:08 UTC,20,26.3,22.93,,,
2023-03-18 02:01:40 UTC,21,26.4,22.93,,,
2023-03-18 02:02:12 UTC,22,26.2,22.93,,,
2023-03-18 02:02:44 UTC,23,26,22.93,,,
2023-03-18 02:03:16 UTC,24,25.8,22.93,,,
2023-03-18 02:03:49 UTC,25,25.7,22.93,,,
2023-03-18 02:04:21 UTC,26,25.6,22.93,,,
2023-03-18 02:04:53 UTC,27,25.5,22.93,,,
2023-03-18 02:05:24 UTC,28,25.5,22.93,,,
2023-03-18 02:05:56 UTC,29,25.4,22.93,,,
2023-03-18 02:06:29 UTC,30,25.4,22.93,,,
2023-03-18 02:07:01 UTC,31,25.4,22.38,,,
2023-03-18 02:07:33 UTC,32,25.3,22.38,,,
2023-03-18 02:08:05 UTC,33,25.3,22.38,,,
2023-03-18 02:08:36 UTC,34,25.3,22.38,,,
2023-03-18 02:09:08 UTC,35,25.2,22.38,,,
2023-03-18 02:09:40 UTC,36,25.3,22.38,,,
2023-03-18 02:10:12 UTC,37,25.4,22.38,,,
2023-03-18 02:10:44 UTC,38,25.5,22.38,,,
2023-03-18 02:11:16 UTC,39,25.6,22.38,,,
2023-03-18 02:11:48 UTC,40,25.7,22.38,,,
2023-03-18 02:12:21 UTC,41,25.7,22.38,,,
2023-03-18 02:12:53 UTC,42,25.8,22.38,,,
2023-03-18 02:13:24 UTC,43,25.8,22.38,,,
2023-03-18 02:13:56 UTC,44,25.9,22.38,,,
2023-03-18 02:14:28 UTC,45,25.8,22.38,,,
2023-03-18 02:15:00 UTC,46,25.6,22.38,,,
2023-03-18 02:15:32 UTC,47,25.5,22.38,,,
2023-03-18 02:16:42 UTC,48,25.4,21.82,,,
2023-03-18 02:17:14 UTC,49,25.2,21.82,,,
2023-03-18 02:17:46 UTC,50,25.1,21.82,,,
,,25.64871795,22.60487179,porcentage de variación: ,,11.86743977
